# OLD_NAME, NEW_NAME
Panagiotis Stathpoulos,Panagiotis Stathopoulos
L. S. Oliveira,Luiz E. Soares de Oliveira
Michele Colajanini,Michele Colajanni
Michele Colajani,Michele Colajanni
Marie-Louise Moschgath,Marie-Luise Moschgath
Marie-Luise Moschgarth,Marie-Luise Moschgath
S. Srivastava,Siddharth Srivastava
Siddarth Srivastava,Siddharth Srivastava
B. G. Nickerson,Bradford G. Nickerson
Paolo Guisto,Paolo Giusto
Nasir Ghanii,Nasir Ghani
Ming-wei Xu,Mingwei Xu
Jorma Virtamo,Jorma T. Virtamo
Emad Mohamed,Emad Eldin Mohamed
L. Favalli,Lorenzo Favalli
Staphane Guillet,Stephane Guillet
E. Körner,Edgar Körner
YuJin Lim,Yujin Lim
Yacine Challall,Yacine Challal
Dimiter R. Aversky,Dimiter R. Avresky
N. Carrasquero,Néstor Carrasquero
B. Quoitin,Bruno Quoitin
Christian Braunt,Christian Braun
L. Alcuri,Luigi Alcuri
I. Chong,Ilyoung Chong
H. Abdel-Wahab,Hussein Abdel-Wahab
J. Bae Kim,Jaime Bae Kim
Jianhua Su,Jianhua Sun
O. Tonguz,Ozan K. Tonguz
R. Meyer,Renate Meyer
KwangSue Chung,Kwangsue Chung
A. Jurecska,Attila Jurecska
Jaesung ChoA,Jaesung Choi
Laurence Mossieri,Laurence Mosseri
Mesaac Malpangou,Mesaac Makpangou
H. Hsieh,Harry Hsieh
Gregor Moehler,Gregor Möhler
Francisco R. P. Cavalcanti,Francisco Rodrigo P. Cavalcanti
Harold Böhme,Harald Böhme
D. J. Leith,Douglas J. Leith
O. Schelén,Olov Schelén
Li-cheng Jiao,Licheng Jiao
V. N. Babenko,Vladimir N. Babenko
V. Babenko,Vladimir N. Babenko
A. A. Ptitsyn,Andrey A. Ptitsyn
A. Ptitsyn,Andrey A. Ptitsyn
J. M. Alonso,José M. Alonso
J. Finkelstein,Joseph Finkelstein
M. Prandini,Marco Prandini
Julio Solano Gonzalez,Julio Solano-González
Mireille Bousquet-Melou,Mireille Bousquet-Mélou
M. Arora,Mohit Arora
G. Moltó,Germán Moltó
Stefan Russo,Stefano Russo
Eshel Ben Jacob,Eshel Ben-Jacob
Andre Nies,André Nies
Maria Lucka,Mária Lucká
Mostafa Safavi,Seyed Mostafa Safavi
P. Lijnzaad,Philip Lijnzaad
A. M'hamed,Abdallah M'hamed
A. P. Traganitis,Apostolos Traganitis
Sridlar Varadarajan,Sridhar Varadarajan
D. C. Shields,Denis C. Shields
José María Perez,José María Pérez
J. C. Nuno,Juan C. Nuño
M. F. de Castro,Miguel F. de Castro
Alexander von zur Huhlen,Alexander von zur Mühlen
A. Pfening,András Pfening
Djamal Tandjaoui,Djamel Tandjaoui
K. S. Makarova,Kira S. Makarova
Lawrence Ozarow,Lawrence H. Ozarow
L. H. Ozarow,Lawrence H. Ozarow
Sidebkumar Prasant Pal,Sudebkumar Prasant Pal
Sudepkumar Prasant Pal,Sudebkumar Prasant Pal
T. Wetter,Thomas Wetter
Abdelmajid Bouabdallah,Abdelmadjid Bouabdallah
Kiam Tian Soew,Kiam Tian Seow
Mary Janie Irwin,Mary Jane Irwin
John Brainard,John G. Brainard
Viktor E. Malyshkin,Victor E. Malyshkin
B. K. F. Ng,Bryan K. F. Ng
Mary Anne Pattonb,Mary Anne Patton
A. D. Rubin,Aviel D. Rubin
C. Beaujean,Christophe Beaujean
Flavio DePaoli,Flavio De Paoli
M. Yung,Moti Yung
Clemens Jurgens,Clemens Jürgens
Marek Truduj,Marek Tudruj
Alba Cristina Melo,Alba Cristina Magalhaes Alves de Melo
Gheorghe Pun,Gheorghe Paun
Hilarie Orman,Hilarie K. Orman
Mi-Young Kang,Mi-young Kang
J. Borrell,Joan Borrell
Khaled Fouad Elsayed,Khaled M. F. Elsayed
G. N Nandakumar,G. N. Nandakumar
Audun Jøsanga,Audun Jøsang
M. Senger,Martin Senger
S. Robles,Sergi Robles
Hafiz Hasan Babu,Hafiz Md. Hasan Babu
Antonín Kuüera,Antonín Kucera
R. D. Cideciyan,Roy D. Cideciyan
Dmitry G. Fon-Der-Flaass,Dmitry Fon-Der-Flaass
Ernst-Dieter Gilles,Ernst Dieter Gilles
Jung Jae Kim,Jung-jae Kim
Martin D. F. Wang,Martin D. F. Wong
Flavio Ortigao,J. Flavio R. Ortigao
J. F. R. Ortigao,J. Flavio R. Ortigao
Kishan G. Mehrota,Kishan G. Mehrotra
Cláudio L. Lucchesi,Cláudio Leonardo Lucchesi
Garrett Yaun,Garrett R. Yaun
J. W. Minett,James W. Minett
Dragomir Radev,Dragomir R. Radev
H. Omar,Hassan Omar
António B. Ferrari,António de Brito Ferrari
E. van den Berg,Eric van den Berg
Wang Dingxing,Dingxing Wang
Stephen Hughes,Stephen B. Hughes
Vitaly A. Likhoshvai,Vitali A. Likhoshvai
Sandor Dominich,Sándor Dominich
Seng-Chuan Tay,Seng Chuan Tay
G. W. Cook,Gregory W. Cook
D. Tominaga,Daisuke Tominaga
D. A. Afonnikov,Dmitry A. Afonnikov
Albert Greenberg,Albert G. Greenberg
R. Sturm,Roland Sturm
Randall Gibson,Randall R. Gibson
H. Sklenar,Heinz Sklenar
S. Suhai,Sándor Suhai
Yury G. Matushkin,Yuri G. Matushkin
Andrea Fressmann,Andrea Freßmann
Geoff J. Gordon,Geoffrey J. Gordon
M. K. Simmons,Melvin K. Simmons
Finn Drablôs,Finn Drabløs
Anirban Chatterjeee,Anirban Chatterjee
Julio C. Martinez,Julio C. Martínez
David Proutry,David Prouty
Virgílio Almeida,Virgílio A. F. Almeida
Jussara M. de Almeida,Jussara M. Almeida
D. Picinon Jr.,D. Picinin Jr.
Aïcha-Benharkat Nabila,Aïcha-Nabila Benharkat
Italo Epicocco,Italo Epicoco
Nick Duffield,Nick G. Duffield
Ryan Houlette,Ryan T. Houlette
John M. Charnes II,John M. Charnes
Laurent Massoulieacute,Laurent Massoulié
Anneliese Mark Pejtersen,Annelise Mark Pejtersen
L. Clarke,Laura Clarke
L. Clark,Laura Clarke
D. Hatzinakos,Dimitrios Hatzinakos
Dimitros Hatzinakos,Dimitrios Hatzinakos
E. Grimson,W. Eric L. Grimson
Yun Hui Liu,Yun-Hui Liu
Ernest Tollner,Ernest W. Tollner
E. W. Tollner,Ernest W. Tollner
Tiarajú Asmuz Diveiro,Tiarajú Asmuz Diverio
T. Meinhard,T. Meinhardt
G. Proctor,Glenn Proctor
Afshin Abddollahi,Afshin Abdollahi
Neill Campbell,Neill W. Campbell
Anibal Ollero,Aníbal Ollero
C. Stauffer,Chris Stauffer
G. Cameron,Graham Cameron
D. Kranzlmüller,Dieter Kranzlmüller
N. Nirmal,Nalinakshi Nirmal
Sushil J Louis,Sushil J. Louis
Ananda Chowdhury,Ananda S. Chowdhury
John Fisher III,John W. Fisher III
D. Andrews,T. Daniel Andrews
R. Bettati,Riccardo Bettati
ANdrew J. Parkes,Andrew J. Parkes
Giuseppe Catsagna,Giuseppe Castagna
Lorenzo Cerruti,Lorenzo Cerutti
T. Hebert,T. M. Hebert
Guenther Eichhorn,Günther Eichhorn
J. Ramiro Martinez-de Dios,J. Ramiro Martinez de Dios
Laurent Cohen,Laurent D. Cohen
Dirk Strooband,Dirk Stroobandt
T. Down,Thomas Down
N. Krahnstoever,Nils Krahnstöver
J. De Schutter,Joris De Schutter
Pierre Nicodéme,Pierre Nicodème
James Griffioen,Jim Griffioen
Maria J. Martin,Maria Jesus Martin
Jingfeng Hu,Jinfeng Hu
T. Kaminuma,Tsuguchika Kaminuma
H. Bruyninckx,Herman Bruyninckx
Rozália Sz. Madarasz,Rozália Sz. Madarász
W. Zhao,Wenyi Zhao
W. Zhao,Wei Zhao
Ch. Schaubschläger,Christian Schaubschläger
Bipul Paul,Bipul Chandra Paul
Yuri Grechkin,Yuri Gretchkin
S. Dutré,Stefan Dutré
Nicolas Franceschini,Nicolas H. Franceschini
Wang-tai Lo,Wang Tai Lo
Dave W. Payton,David W. Payton
V. Narayanan,Narayanan Vijaykrishnan
Marc Gonzalez,Marc González
S. Hauck,Scott Hauck
Beng Persson,Bengt Persson
A. Papastergiou,Anastasia Papastergiou
Anastasia Papastrergiou,Anastasia Papastergiou
Yanis Maistros,Yannis Maistros
Khaled B. Letaief,Khaled Ben Letaief
Aurelio la Corte,Aurelio La Corte
Jachkson Harvey,Jackson Harvey
Gábor Mhály Surányi,Gábor Mihály Surányi
Rafaella Bernardi,Raffaella Bernardi
EugeneShih,Eugene Shih
Gyu tai Kim,Gyutai Kim
M. Aoshima,Masaaki Aoshima
H. Joseph Y. Halpern,Joseph Y. Halpern
Erina Ferro Alberto Gotta,Erina Ferro
N. Suehiro,Naoki Suehiro
Ken-Ichi Hidai,Ken-ichi Hidai
Jun-seok Lim,Jun-Seok Lim
O. Weiss,Oliver Weiss
Keum-Shik Hong,Keum Shik Hong
T. Takai-Igarashi,Takako Takai-Igarashi
J. D. Garside,Jim D. Garside
T. Hoshiai,Tadashi Hoshiai
S. Székely,Sándor Székely
K. E. Tait,Keith E. Tait
V. Chandra,Vigyan Chandra
Jung-Hoon Kim,Jung Hoon Kim
F. Suzuki,Fumio Suzuki
Masa-aki Fukase,Masa-Aki Fukase
Hussein M. Adbel-Wahab,Hussein M. Abdel-Wahab
Teruyuki Hasegewa,Teruyuki Hasegawa
F. Franssen,Frank H. M. Franssen
Jim C. Gee,James C. Gee
L. Lawerence Ho,L. Lawrence Ho
Dimitris Tzovaras,Dimitrios Tzovaras
Marianno Montoni,Mariano Montoni
D. Kelliher,Denis Kelliher
Judith E. Devaney,Judith Ellen Devaney
John Hagedorn,John G. Hagedorn
A. Dorado,Andrés Dorado
T. Lainema,Timo Lainema
A. Elnaggar,Ayman Elnaggar
B. Bishop,Benjamin Bishop
Maurice Bellanger,Maurice G. Bellanger
M. M. Keane,Marcus M. Keane
Dganit Amitati,Dganit Amitai
E. Baccarelli,Enzo Baccarelli
Ana Regina C. Rocha,Ana Regina Rocha
Ashraf Kassim,Ashraf A. Kassim
Noëmi Simoni,Noëmie Simoni
Vassilis Tsaoussidis,Vassilios Tsaoussidis
H. Nicolas,Henri Nicolas
J. J. Garcia-Luna Aceves,J. J. Garcia-Luna-Aceves
D. J. Farber,David J. Farber
D. P. Mundy,Darren P. Mundy
Rhadia Cousot,Radhia Cousot
Jose M. Menéndez,José M. Menéndez
Jose M. Menendez,José M. Menéndez
Jéroôme Kalifa,Jérôme Kalifa
Jéroô me Kalifa,Jérôme Kalifa
Saied Belkasim,Saeid Belkasim
S. Belkasim,Saeid Belkasim
Jalel-Ben Othman,Jalel Ben-Othman
K. Dogançay,Kutluyil Dogancay
Radim Belohlávek Vladimír Sklenar,Radim Belohlávek
Neal Harvey,Neal R. Harvey
Vladimir Lukin,Vladimir V. Lukin
Guiseppe Bernacchia,Giuseppe Bernacchia
Hussein Abdel-Wahab,Hussein M. Abdel-Wahab
Iehab AL Rassan,Iehab Al Rassan
José J. Astrain,José Javier Astrain
E. N. Malamas,Elias N. Malamas
Antonio Reyes Moro,Antonio Reyes-Moro
Giovanni Sicuranza,Giovanni L. Sicuranza
Jeffery M. Trent,Jeffrey M. Trent
R. Ansari,Rashid Ansari
T. I. Wang,Tzone I. Wang
Yun Q Shi,Yun Q. Shi
Jer-Ferr Yang,Jar-Ferr Yang
MMayez A. Al-Mouhamed,Mayez A. Al-Mouhamed
Andre Redert,André Redert
Øyvind Hansen,Øyvind Hanssen
Jesús Acosta-Elias,Jesús Acosta-Elías
Patrick Schulz,Patrick R. Schulz
Vim Vandenberghe,Wim Vandenberghe
A. Erçil,Aytül Erçil
László Mérõ,László Méro
L. Mérö,László Méro
Byung C. Song,Byung Cheol Song
B. C. Song,Byung Cheol Song
Mathhew Wolf,Matthew Wolf
Mathew Wolf,Matthew Wolf
G. Ferrari,Gian Luigi Ferrari
Hakan Altýnçay,Hakan Altinçay
Hakan Altnçay,Hakan Altinçay
King-Sun Fu,King-sun Fu
K. S. Fu,King-sun Fu
Myung J. Kim,Myung Jun Kim
M.-J. Kim,Myung Jun Kim
Mooley Sagiv,Shmuel Sagiv
Ming Lei Liou,Ming L. Liou
M. L. Liou,Ming L. Liou
Narciso Garcia,Narciso N. García
Francisco Javier Rodriguez,Francisco Javier Rodríguez
F. Javier Rodríguez,Francisco Javier Rodríguez
Michael Brunig,Michael Brünig
TYaakov Tsaig,Yaakov Tsaig
A. Zelensky,A. A. Zelensky
Nader Mohammed,Nader Mohamed
Ricardo Parenti,Riccardo Parenti
Mübeccel Demrekler,Mübeccel Demirekler
AJohn F. Arnold,John F. Arnold
Wei J. Heng,Wei Jyh Heng
M. I. Khalil,Mahmoud I. Khalil
H. A. Peterson,Heidi A. Peterson
Loren Schweibert,Loren Schwiebert
Chu-Jen Tsai,Chun-Jen Tsai
S. Mehrotra,Sharad Mehrotra
Christpoh Nowack,Christoph Nowack
David Anguita,Davide Anguita
R A. Grupen,Roderic A. Grupen
Stephen Höst,Stefan Höst
SungKyu Jang,Sung Kyu Jang
D. L. Vertigan,Dirk Vertigan
Bernard Silvers,Bernard Silver
Victor Nielto Lluis,Victor Nieto Lluis
Kim-Hut Yap,Kim-Hui Yap
Vladimir L. Melnik,Vladimir P. Melnik
Q. Huang,Qian Huang
Hiroyki Takizawa,Hiroyuki Takizawa
P. H. W. Wong,Peter H. W. Wong
Wonyong Sun,Wonyong Sung
D. Beletsiotis,Dimitris Beletsiotis
Robert L. Veroff,Robert Veroff
Shin'chi Yuta,Shin'ichi Yuta
Jeon-Paul Laumond,Jean-Paul Laumond
Richard V. Aldrige,Richard V. Aldridge
Wolfgang Rosentiel,Wolfgang Rosenstiel
B. Zeng,Bing Zeng
Nam-Ik Cho,Nam Ik Cho
Deniz Bakent,Deniz Baskent
Nikolaos P. Galatsanos,Nikolas P. Galatsanos
Rich Eaton,Richard Eaton
Macro Carpentieri,Marco Carpentieri
Kazuo Ushijiam,Kazuo Ushijima
K. Sano,Kentaro Sano
Sang Rok Oh,Sang-Rok Oh
Enrique Rendon,Enrique Rendón
C.-C. J. Kuo,C.-C. Jay Kuo
Vijayan Asari,Vijayan K. Asari
Dhabaleswar Pandac,Dhabaleswar K. Panda
Agustin Álvarez Marquina,Agustín Álvarez Marquina
Sen-ching S. Cheung,Sen-Ching S. Cheung
Jaehun Lee,Jae Hun Lee
Gene Spafford,Eugene H. Spafford
E. Loutas,Evangelos Loutas
Russel M. Mersereau,Russell M. Mersereau
Stefan Abranowski,Stefan Arbanowski
Macro Colombetti,Marco Colombetti
C. S. G. Lee,C. S. George Lee
G. S. George Lee,C. S. George Lee
S. M. Bohte,Sander M. Bohte
Sander Bohte,Sander M. Bohte
Mark J. T Smith,Mark J. T. Smith
M. J. T. Smith,Mark J. T. Smith
M. Férnandez,Milagros Fernández
M. Fernández,Milagros Fernández
KilHoum Park,Kil-Houm Park
Carmen Veronica Bobeanu,Carmen-Veronica Bobeanu
H. Oim,Haldur Oim
Tsutom Hasegawa,Tsutomu Hasegawa
Z. Ji,Zhengrong Ji
Hong-jian Lai,Hong-Jian Lai
Reiner Hartenstein,Reiner W. Hartenstein
Daisuke Kurabyashi,Daisuke Kurabayashi
Shamin A. Naqvi,Shamim A. Naqvi
Rajive Bargrodia,Rajive Bagrodia
Eichi Yoshida,Eiichi Yoshida
J. Kramer,Jeff Kramer
F. Leisch,Friedrich Leisch
Dave Kormann,David P. Kormann
Jinghao Xue,Jing-Hao Xue
Francesco L. Presti,Francesco Lo Presti
Yoon-Keuk Kwak,Yoon-Keun Kwak
Kazuo MacHida,Kazuo Machida
Piero Torasso,Pietro Torasso
M. Saluveer,Madis Saluveer
T. Roosmaa,Tiit Roosmaa
V. Kustov,Vadim Kustov
Ana Lukic,Ana S. Lukic
Marten J. van Sinderen,Marten van Sinderen
J. Davis,Joseph G. Davis
R. Hermida,Román Hermida
Martial Herbert,Martial Hebert
A. F. R. Araújo,Aluizio F. R. Araújo
Henri Bal,Henri E. Bal
Q. V. Do,Quoc Vong Do
Toruo Fujii,Teruo Fujii
Haggai Ilani,Hagai Ilani
Hun-Ok Lim,Hun-ok Lim
J. Kramer,Jörg Kramer
Yashushi Yagi,Yasushi Yagi
Viacheslav V. Prelov,Vyacheslav V. Prelov
J. Davis,James Davis
K. K. Gupta,Kamal K. Gupta
Guenole Silvestre,Guenole C. M. Silvestre
ByungGil Lee,Byung Gil Lee
Koki Kikuchi,Kohki Kikuchi
B. Kearney,Robert Kearney
José M. Mendias,José M. Mendías
M. C. Hsueh,Mei-Chen Hsueh
S. Gerding,Steve Gerding
Takashi Kaneko,Takeshi Kaneko
Aristeidis Likas,Aristidis Likas
Tsuyshi Suzuki,Tsuyoshi Suzuki
Raajat K. Pal,Rajat K. Pal
A. Matsumoto,Akihiro Matsumoto
HwangJun Song,Hwangjun Song
Vincent Mooney,Vincent John Mooney III
0lga Peñalba,Olga Peñalba
D. Nagchoudhury,D. Nagchoudhuri
D. Nagchoudhurhi,D. Nagchoudhuri
Alexey Kostyn,Alexey Kostin
Moon-Key Lee,Moon Key Lee
Y. Weiss,Yair Weiss
Adam Macbeth,Adam MacBeth
M. Horowitz,Mark Horowitz
Chien-I Chang,Chein-I Chang
Adam Bargteil,Adam W. Bargteil
C. Rother,Carsten Rother
Craig Kaplan,Craig S. Kaplan
J. Peters,Joseph G. Peters
Dilip Sakar,Dilip Sarkar
Larry Hodges,Larry F. Hodges
Cesar Di Francesco,Cesare Di Francesco
Roger-David Hersch,Roger D. Hersch
J. Peters,Jörg Peters
P. Dietz,Peter Dietz
Daniel German,Daniel M. Germán
Don Norman,Donald A. Norman
Ilene Burstein,Ilene Burnstein
N. Mohamed,Nader Mohamed
C. Chang,Carl K. Chang
Art Graesser,Arthur C. Graesser
Eileen Lin,Eileen Tien Lin
Michael Perrone,Michael P. Perrone
R. Ford,Ray Ford
Stanl Franklin,Stan Franklin
Daniel Yellin,Daniel M. Yellin
L. Jones,Lauretta Jones
Artur d'Avila Garcez,Artur S. d'Avila Garcez
B. Ramamurthy,Byrav Ramamurthy
Sharon Greene,Sharon L. Greene
Seraphin Calo,Seraphin B. Calo
Gabrie Wittum,Gabriel Wittum
J. Bigus,Joseph P. Bigus
M. Malek,Mazen Malek
H. B. Lee,Hian Beng Lee
S. P. Morgan,Samuel P. Morgan
T. Jiang,Tsang Ming Jiang
Joseph Loyall,Joseph P. Loyall
A. Somani,Amit Somani
M. Malek,Miroslaw Malek
Márcio De Oliveira Barros,Márcio de Oliveira Barros
Márcio de O. Barros,Márcio de Oliveira Barros
S. Ramaswamy,Srinivasan Ramaswamy
Veith Koerner,Veith Körner
Youichi Omori,Yoichi Omori
Anthony K. H. Tong,Anthony K. H. Tung
Hakan Hacigumus,Hakan Hacigümüs
Sameh Fakhouri,Sameh A. Fakhouri
Maria Klawe,Maria M. Klawe
Rob F. Van Der Wijngaart,Rob F. Van der Wijngaart
Chee-Yong Chan,Chee Yong Chan
Catherine Wolf,Catherine G. Wolf
Shihong Huang	,Shihong Huang
S. Ramaswamy,Sanjay Ramaswamy
A. Kimms,Alf Kimms
Alfredo Fernandez-Valmayor,Alfredo Fernández-Valmayor
David Seidman,David I. Seidman
Panayiotis. Periorellis,Panayiotis Periorellis
Andrew Witkin,Andrew P. Witkin
Jorge Enrique Pérez-Martinez,Jorge Enrique Pérez-Martínez
N. Law,Nancy Law
LiJun Shan,Lijun Shan
B. Iyer,Balakrishna R. Iyer
Hans-Dieter Zimmerman,Hans-Dieter Zimmermann
Carla M. D. S. Freitas,Carla Maria Dal Sasso Freitas
Carlo M. D. S. Freitas,Carla Maria Dal Sasso Freitas
Italo De Oliveira Matias,Italo de Oliveira Matias
Italo de Oliveira Matia,Italo de Oliveira Matias
Raquel Gómez,Raquel Gómez Díaz
Riccardo Sissto,Riccardo Sisto
Marta Patiño-Martinez,Marta Patiño-Martínez
Matthias Muschol,Matthias Muscholl
David Kranz,David A. Kranz
René Banares-Alcantara,René Bañares-Alcántara
Marc Niehaus,Marc Nienhaus
Min-Hyun Choi,Min-Hyung Choi
Konstantin Baumman,Konstantin Baumann
Jeong Kyu Lee,JeongKyu Lee
C. Rosenberg,Catherine Rosenberg
S. Tokunaga,Shin-ichi Tokunaga
C. Kaiser,Claude Kaiser
J. F. Duque-Carillo,J. F. Duque-Carrillo
Jung Hwan Oh,Jung-Hwan Oh
Raymond Staron,Raymond J. Staron
Dionisis Kechagias,Dionisis Kehagias
 Landherr,Pablo Landherr
John Coffey,John W. Coffey
R. Perez-Aloe,R. Pérez-Aloe
Kalina Botcheva,Kalina Bontcheva
F. M. Oliveira,Flávio M. Oliveira
Chin Kwai Sang,Kwai-Sang Chin
Anantha P. Chandrakasan,Anantha Chandrakasan
Juan M. Serrano,Juan Manuel Serrano
Primal Pal Chaudhuri,Parimal Pal Chaudhuri
José Palazzo M. Oliveira,José Palazzo M. de Oliveira
T. C. Lu,Tzu-Chuen Lu
A. Drigas,Athanasios Drigas
Bhargab B. Bhattacharya P. S. Dasgupta,Bhargab B. Bhattacharya
Fraçois X. Sillion,François X. Sillion
Viacheslav P. Grishukhin,Viatcheslav P. Grishukhin
Dr John Durkin,John Durkin
Ahmed Rafea,Ahmed A. Rafea
Aleksander Malni,Aleksander Malnic
Min-Jun Lai,Ming-Jun Lai
Carlos Varela,Carlos A. Varela
Jorge Buenabad-Chávez,Jorge Buenabad Chávez
A. K. Majumdar,Arun K. Majumdar
Wilson Chung,Wilson C. Chung
Wilson Cung,Wilson C. Chung
D. Roy Chodhury,Dipanwita Roy Chowdhury
D. Roy Choudhury,Dipanwita Roy Chowdhury
D. Roy Chowdhury,Dipanwita Roy Chowdhury
Dipanwita Roy Chowdhuri,Dipanwita Roy Chowdhury
P. J. Ashton,Paul J. Ashton
Paul Ashton,Paul J. Ashton
J. P. Penny,John P. Penny
John Penny,John P. Penny
Frederic Pighin,Frederic H. Pighin
Frédéric Pighin,Frederic H. Pighin
D. Vazquez,Diego Vázquez
Saghir A. Saikh,Saghir A. Shaikh
Saghir Shaikh,Saghir A. Shaikh
Christian Zabenedetti,Christian Zambenedetti
T. Yan,Tao Yan
W. H. Lp,W. H. Ip
J. R. Rinewalt,J. Richard Rinewalt
Simon Parson,Simon Parsons
T. Yoneda,Tomokazu Yoneda
Kyung-Shik Shin,Kyung-shik Shin
Songiao Li,Songtao Li
K. P. Shum,Kar-Ping Shum
Sunjun Chun,Sungjun Chun
Petr lechta,Petr Slechta
Miguel Delgano,Miguel Delgado
D. Banerji,Dilip K. Banerji
M d'Abreu,M. d'Abreu
Juan A. Nolazco-Flores,Juan Arturo Nolazco-Flores
Frank Pitelli,Frank M. Pittelli
Z. Lu,Ziren Lu
Hervé Brünnimann,Hervé Brönnimann
Francisca Ibañez-Cruz,Francisca Ibáñez-Cruz
Avinask K. Gautam,Avinash K. Gautam
Anupriya Ankolenkar,Anupriya Ankolekar
A. D. Marshall,A. David Marshall
Jae kyeong Kim,Jae Kyeong Kim
Yao Tsung Lin,Yao-Tsung Lin
Rudolf Riedi,Rudolf H. Riedi
S. Derrien,Steven Derrien
Angel L. Gonzalez,Angel L. González
J. W. Hoffmeister,Jeffrey W. Hoffmeister
Francisco García-Sánchez,Francisco García Sánchez
Srimat T. Chakradha,Srimat T. Chakradhar
Mon-Gong Jiang,Mon-Fong Jiang
J. F. Duque-Carrillo,J. Francisco Duque-Carrillo
Yunhu Huo,Yunfu Huo
Christopher Jermaine,Chris Jermaine
Ying-Feng Kou,Ying-Feng Kuo
Jin-Shing Yao,Jing-Shing Yao
John Chandy,John A. Chandy
P. R. Sureshkumar,P. R. Suresh Kumar
S. Majumder,Subhashis Majumder
Jong Hyun Park Wan Hyun Cho,Jong Hyun Park
Reihameh Safavi-Naini,Reihaneh Safavi-Naini
Dipanwita Roychoudhury,Dipanwita Roy Choudhury
C. Rama Mohan,Chunduri Rama Mohan
V. A. Zinoviev,Victor A. Zinoviev
Victor Zinoviev,Victor A. Zinoviev
L. P. Clare,Loren P. Clare
Loren Clare,Loren P. Clare
Eunil Yun,Unil Yun
EunIl Yun,Unil Yun
Fatih Emekci,Fatih Emekçi
Lawrence Shepp,Lawrence A. Shepp
Liau Chu Yee,Chu Yee Liau
Aris Ouksel,Aris M. Ouksel
Yue long Jiang,Yuelong Jiang
E. Sendova,Evgenia Sendova
A. Nerold,Alexander Herold
Peter Corny,Peter Gorny
Renáe Peralta,René Peralta
K. M. Inkpen,Kori Inkpen
Kori M. Inkpen,Kori Inkpen
Kepa J. Rodríguez,Kepa Joseba Rodríguez
R. Kilgour,Richard Kilgour
Purncndu Mandal,Purnendu Mandal
Ron Pfeifle,Ronald Pfeifle
P. Rebholz,Philipp Rebholz
S. D. Scott,Stacey D. Scott
K. Espinosa,Koldo Espinosa
Nawar Al Hakeem,Nawar Al-Hakeem
Hein M. Daanen,H. A. M. Daanen
Bonnie John,Bonnie E. John
M. Waelkens,Marc Waelkens
Kathleen Robinette,Kathleen M. Robinette
M. A. Brunsman,Matthew A. Brunsman
Ignacio Martin,Ignacio Martín
Ian Hiskens,Ian A. Hiskens
Jose Moura,José Moura
P. Carney,Paul Carney
Giancomo Cioffi,Giacomo Cioffi
H. R. Childs,Henry R. Childs
Bernhard Courtois,Bernard Courtois
M. Rencz,Márta Rencz
Ma'rta Rencz,Márta Rencz
P. K. Nandi,Prasanta Kumar Nandi
Prasanta K. Nandi,Prasanta Kumar Nandi
M. Sekijima,Masakazu Sekijima
A. Singh,Amitoj Singh
R. Degeest,Roland DeGeest
M Balakrishnan,M. Balakrishnan
M. Maurer,Martin Maurer
S. Savithri,Savithri Sundareswaran
A. Bosco,Alessandro Bosco
E. Grabczewski,Edward Grabczewski
Francois Charot,François Charot
Hing-fung Ting,Hing-Fung Ting
J. Casas,Jeremy Casas
Rajiv Joshi,Rajiv V. Joshi
Stephen G. Batsell,Stephen Gordon Batsell
A. Singh,Ajit Singh
P. Zegers,Pablo Zegers
S. K. Lahiri,Shuvendu K. Lahiri
Dipak Gosal,Dipak Ghosal
Christopher G. Heale,Christopher G. Healey
Luïs Nunes,Luís Nunes
Nagu Dhanwada,Nagu R. Dhanwada
Mleanna Kafeza,Eleanna Kafeza
Miroslav Licko,Miroslav Lícko
B. Plateau,Brigitte Plateau
A. Dharchoudhury,Abhijit Dharchoudhury
W. C. Miller,William C. Miller
K. Hyyppä,Kalevi Hyyppä
Shabbir Batterywala,Shabbir H. Batterywala
J. Rao,Jinghai Rao
Vladimir Sze'kely,Vladimir Székely
Jeffrey Burns,Jeffrey L. Burns
C. Fretzagias,Charalampos Fretzagias
Jospeh Robert Horgan,Joseph Robert Horgan
Joseph R. Horgan,Joseph Robert Horgan
R. Beale,Russell Beale
Russel Beale,Russell Beale
Josá C. Monteiro,José C. Monteiro
José Monteiro,José C. Monteiro
Jose Monteiro,José C. Monteiro
Baifya Nath Ray,Baidya Nath Ray
Baidyanath Ray,Baidya Nath Ray
Take Itegaki,Take Itagaki
Takebumi Itagaki,Take Itagaki
William W. Lynch,William E. Lynch
Arnold Bloemer,Arnold Blömer
Kjell Brunnstrom,Kjell Brunnström
Ying K Leung,Ying K. Leung
Abdel Belaid,Abdel Belaïd
Stacy Marcella,Stacy Marsella
Jaume Baixeries José L. Balcázar,Jaume Baixeries
Guntram Graef,Guntram Gräf
M. Meinke,Matthias Meinke
Marí Simon,María Simon
Andy Schurr,Andy Schürr
Rolf Fagerbert,Rolf Fagerberg
Elif Kurklu,Elif Kürklü
Åsa Rudsström,Åsa Rudström
R. Puri,Ruchir Puri
Marcelo Lubazewski,Marcelo Lubaszewski
Haizhong Zhang,Haizheng Zhang
J. Weidenhausen,Jens Weidenhausen
N. Ramanathan,S. Ramanathan
A. de Daruvar,Antoine de Daruvar
